57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
56,58,68
56,58,68
57,59,69
56,59,69
56,59,69
56,59,69
56,59,69
56,59,69
56,59,69
56,59,69
56,59,69
56,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,68
57,59,68
57,58,68
57,58,68
57,58,67
57,58,67
59,59,67
59,59,67
58,58,66
58,58,66
58,58,66
58,59,66
61,61,66
61,64,67
65,67,70
67,70,72
70,73,73
71,73,74
76,76,76
76,77,77
77,75,76
79,77,80
79,77,80
86,84,86
90,89,91
90,89,91
83,90,90
107,126,113
119,142,129
121,142,126
118,139,124
113,139,123
114,138,123
105,127,113
119,140,125
120,135,121
115,129,116
119,136,121
123,139,126
109,128,114
110,134,119
111,135,119
102,125,110
110,133,117
113,137,122
113,132,121
127,144,132
129,142,128
124,134,120
131,144,131
121,134,121
115,131,117
123,143,129
113,134,120
109,129,117
114,136,122
114,135,122
111,130,119
111,129,116
116,128,114
113,123,111
117,126,115
119,130,119
111,126,113
123,140,128
125,142,128
121,136,124
122,141,128
115,134,121
112,132,118
119,134,119
126,136,122
120,129,117
114,123,111
117,124,113
113,126,115
115,133,120
113,130,116
111,126,114
120,139,125
129,146,133
127,139,127
131,143,129
128,134,121
118,124,112
126,130,120
126,133,122
116,129,117
121,139,126
118,133,120
116,130,119
117,133,120
114,131,119
109,123,115
115,128,116
126,130,118
119,121,111
126,129,119
132,135,125
125,131,121
129,140,129
121,134,120
117,128,116
120,133,121
125,136,126
116,126,118
124,135,123
129,131,119
128,128,118
128,129,119
127,129,119
114,121,112
81,120,138
80,119,134
80,116,129
78,113,125
77,111,121
75,110,119
69,109,118
74,108,120
73,106,121
73,106,120
72,105,118
72,105,118
71,107,117
71,108,116
73,108,117
73,107,118
75,108,121
76,110,124
71,110,127
77,112,133
78,112,136
79,114,140
80,114,143
82,115,146
79,116,146
79,116,146
82,116,146
82,115,145
82,115,144
81,114,143
75,114,146
79,112,142
77,109,133
76,108,132
76,107,133
75,105,133
73,106,135
73,108,137
74,105,133
73,104,132
72,102,130
70,101,130
65,100,135
66,100,135
65,98,132
64,97,132
64,97,132
63,97,132
60,99,137
61,100,137
62,98,132
59,95,128
58,93,123
58,91,119
53,91,122
56,89,112
55,87,106
55,87,103
56,87,101
57,88,100
55,89,105
54,90,102
56,88,98
24,73,69
27,76,79
31,79,90
34,84,101
38,88,111
42,94,122
47,99,132
51,104,141
55,107,146
61,111,152
65,115,158
69,117,163
72,120,169
75,122,174
78,126,180
80,129,186
